Helia Galdamez Saldivar#13:23
Carlos Ormenno Aldea#12:45
Giovana Medina Iturriaga#12:57
Marisel Rodriguez Tirado#12:40
Hoz Barros Palta#13:01
Jocelyn Curin Oses#12:08
Gregoria Pinochet Moreira#13:00
Froilan Suarez Bastidas#12:41
Noemi Sarmiento Valerio#13:20
Arnaldo Espinoza Lozano#13:03
Anselmo Santiago Paez#11:38
Rommy Lazo Montoya#12:44
Anselmo Salas Choque#13:20
Salome Frez Hinojosa#12:42
Waldo Roca Villagran#11:47
Marilyn Martin Roman#13:00
Valeria Navarrete Millar#13:26
Juana Allende Nieto#13:08
Zoila Mella Urquieta#12:34
Cristobal Galindo Morales#12:50
Noelia Anacona Sanhueza#12:54
Demetrio Caceres Leyton#12:27
Demetrio Casanga Carvajal#12:29
Torre Moscoso Albarran#13:19
Celestino Novoa Mieres#12:46
Maicol Monje Moya#12:26
Enedina Saa Montenegro#12:27
Milena Caqueo Varas#12:46
Edmundo Mura Santibannez#12:54
Tania Aceituno Trigo#13:26
Aliro Alburquenque Quiero#13:22
Froilan Zapata Velozo#11:54
Isabel Ledesma Schmidt#12:57
Williams Suarez Campillay#12:03
Valle Garnica Tilleria#12:10
Audolia Bueno Encina#12:58
Mitzy Lazo Farfan#13:10
Vicente Carrizo Monares#12:56
Nibaldo Montanares Aguirre#11:45
Margarita Cabello Rey#12:46
Erik Maldonado Cornejo#12:58
Willy Julio Valero#13:37
Jesus Moena Cristi#12:46
Tamara Inzunza Briones#12:23
Maricela Barrios Sepulveda#12:50
Jocelyn Neira Munita#13:24
Marioly Lillo Leyton#12:31
Mauricio Campos Davila#12:15
Ximena Correa Urzua#12:02
Soledad Bascur Paredes#12:00
Darling Mori Clavijo#11:44
Nataly Lazo Lemus#13:28
Beatriz Jaque Fuentealba#13:16
Teresita Ortega Galaz#12:40
Dora Almuna Lastra#12:59
Mery Montanares Almuna#12:57
Eloisa Valdivieso Victoriano#12:44
Rebeca Villalobos Pinto#13:08
Melisa Escanilla Aracena#13:08
Marion Caqueo Navea#12:57
Luciana Canto Monje#12:41
Blanca Adasme Bastidas#13:23
Nivia Bizama Sarria#12:50
Horacio Pinuer Galdames#11:55
Giannina Ramirez Dinamarca#11:54
Osvaldo Elgueta Montero#12:05
Evangelina Caimanque Moya#12:46
Lisandro Altamirano Escobedo#12:46
Jeronimo Fabres Zambra#12:11
Elia Basaez Pino#12:23
Selva Casanueva Cartes#12:36
Reynaldo Polanco Naveas#13:35
Caroline Aldea Garces#12:46
Amparo Agurto Gonzalez#13:43
Nadia Fuentealba Vegas#12:33
Homero Roman Lema#13:17
Nemesio Espejo Jelves#13:26
Feliciano Grez Mallea#12:00
Jovita Luna Cifuentes#12:46
Clorinda Garin Utreras#13:49
Eliecer Rioseco Torrealba#13:28
Eusebio Caceres Navea#12:16
Fuente Andaur Morel#12:48
Damian Torreblanca Peralta#13:22
Leila Cuellar Navea#12:17
Ronny Loyola Fuentealba#12:53
Rudy Labarca Ordenes#12:08
Felicia Sierra Caviedes#13:16
Douglas Abarzua Placencia#12:04
Kevin Bozo Liberona#13:19
Benigno Astroza Moraga#12:49
Armin Lemus Bocaz#13:52
Angelica Quijada Quiroz#12:38
Agustina Morgado Grez#12:01
Mirta Labbe Araneda#12:39
Deidamia Saa Castellon#12:36
Jesica Montenegro Larrondo#12:31
Mery Rodriguez Almuna#12:07
Cristian Stuardo Pradenas#13:13
Oliver Bueno Saravia#13:35
Andres Chepillo Carvajal#12:22
Atilio Varela Provoste#13:38
Blas Palomino Navarrete#13:31
Fermin Abrigo Ferreira#12:05
Amelia Moyano Zunniga#12:43
Mery Lazo Bernales#13:02
Antonieta Salcedo Izquierdo#13:15
Maikol Parraguez Garay#12:16
Texia Quilodran Fica#12:35
Norman Pino Patinno#12:36
Gaspar Corona Ossa#11:54
Romulo Oyarzun Bricenno#12:09
Katherin Barraza Tello#11:56
Cornelio Arcos Bernales#12:44
Arturo Rain Heredia#11:55
Piero Basaure Guerra#12:48
Victorina Barra Olea#11:34
Michael San Benitez#13:42
Lionel Lobos Altamirano#12:04
Jara Madrid Bernales#12:54
Renato Monsalve Esparza#13:27
Ivon Balbontin Roblero#12:17
Adela Esparza Pontigo#11:35
George Oyanadel Obreque#12:40
Camila Madariaga Avendanno#13:16
Lisette Allendes Estrada#13:26
Placido Milla Ascencio#13:30
Natacha Lamas Orozco#12:33
Franchesca Jopia Cifuentes#12:41
Dafne Neyra Bizama#12:32
Angela Bautista Coloma#12:28
Danilo Ardiles Fabres#13:17
Galvarino Iglesias Leon#12:56
Tania Mendoza Esparza#12:09
Sonnia Lastra Escalante#12:33
Vitalia Cruces Tolosa#13:14
Flora Olate Anguita#12:51
Ingrid Escalona Alegria#13:09
Pascuala Cavieres Buguenno#12:55
Mercedes Salazar Anacona#12:22
Marta Cuevas Zamora#12:39
Inelia Osses Hidalgo#13:15
Elda Melendez Nova#12:32
Simon Millar Naveas#12:34
Aquiles Videla Delgado#13:05
Del Provoste Victoriano#12:07
Arturo Quispe Sanzana#12:53
Bernabe Sanchez Mora#13:20
Raimundo Melgarejo Tapia#13:49
Daniela Figueroa Montiel#13:16
Wilma Bazaes Lagos#13:02
Guillermo Yevenes Iturra#12:33
Placido Fritz Inostroza#13:19
Vinka Urqueta Arostica#13:00
Erwin Puentes Mena#13:42
Ciro Alvarado Orostica#11:51
Julia Becerra Obando#12:28
Celia Cabrera Fuica#12:47
Stephanie Cortes Nunnez#12:35
Mireya Garin Puelles#13:20
Grecia Villavicencio Varas#12:26
Celia Cueto Cortez#12:02
Nemesio Manquez Luarte#11:52
Elda Rubilar Balboa#12:24
Elvis De Montanno#13:40
Paulo Gallardo Abarza#12:45
Lucas Jeraldo Arriola#12:22
Aida Trivinno Zuleta#12:02
Javiera Cubillos Almarza#12:05
Genesis Vasquez Pennailillo#13:06
Marjorie Zumaran Parraguez#12:32
Agustin Marileo Cortez#13:14
Nilda Huerta Fabres#12:41
Karime Alday Illanes#13:07
Custodio Schmidt Gaete#13:05
Brian Alegria Ocaranza#12:43
Brenda Ordonnez Villena#12:45
Odilia Bahamondez Monsalves#13:39
Filomena Orostegui Salvatierra#12:10
Nestor Guardia Mansilla#12:21
Yeny Montiel Apablaza#12:54
Francis Recabal Pincheira#11:49
Fernando Gallardo Mora#12:01
Mitzy Palavecino Valdivia#11:53
Armin Cofre Astete#12:44
Nelida Ocampo Toloza#12:41
Esmerita Iturriaga Crisostomo#11:56
Esteban Calabrano Recabal#13:31
Aquiles Aros Julio#12:54
Nuvia San Rain#13:15
Yanett Amestica Casanova#12:12
Karen Monroy Sanzana#12:38
George Espinosa Irribarra#13:19
Geronimo Leal Manquez#12:43
Laura Saa Belmar#13:22
Yanet Caballero Obreque#12:58
Isidora Liberona Burdiles#13:28
Erna Herrera Ojeda#13:45
Ignacio Mesias Aguirre#12:48
Nelly Ravanal Mera#12:05
Ilse Navia Vejar#13:22
Gregorio Mesias Paez#11:53
Rommy Trejo Villagran#12:09
Luisa Almonacid Gamonal#11:48
Hortensia Pareja Hormazabal#13:24
Ceferino Saez Ascencio#11:55
Carina Hevia Ossandon#12:50
Zulema Abello Severino#12:36
Mauricio Montero Angel#12:38
Domingo Lira Argandonna#12:50
Yoselyn Linares Malebran#12:53
Doris Ubilla Marambio#13:23
Cecilia Carrera Ojeda#12:49
Valeria Salvatierra Concha#13:10
Yonatan Saldanna Almendra#13:03
Byron Alvarado Medina#13:19
Placido Campusano Orostica#12:45
Gilda Rivas Zarate#12:22
Daysi Aguayo Bahamondes#11:52
Selva Norambuena Quiero#13:45
Leandro Santa Labra#13:01
Fermin Benitez Urbina#12:23
Maricel Zambrano Zarricueta#12:26
Octavio Matamala Blas#13:12
Jennifer Becerra Acunna#12:48
Rita Luza Pareja#11:53
Ida Acunna Cortez#12:16
Carolina Catalan Geraldo#13:03
Alexander Aguila Troncoso#12:34
Clara Bustos Daza#13:24
Hortensia Morel Pezoa#11:58
Romelio Carrizo Maraboli#11:56
Elena Irribarra Barrios#12:36
Eileen Vargas Barahona#13:03
Silvana Berrocal Monje#12:17
Florencia Burboa Monardez#13:28
Lastenia Troncoso Ayala#12:44
Rebeca Alquinta Ugarte#13:04
Bernardo Pennaloza Mera#12:33
Lia Balladares Hidalgo#12:46
Makarena Valencia Barrueto#12:20
Delfina Ossa Garcia#12:11
Elda Gajardo Vallejos#12:43
Vanesa Robledo Meneses#13:10
Joseline Madriaga Droguett#12:49
Esmerita Chambe Ganga#11:50
Isolina Amestica Pennaloza#12:46
Juanita Quintana Oliveros#13:31
Leslie Sepulveda Salcedo#12:37
Doralisa Bizama Castillo#13:39
Cynthia Huerta Luna#12:36
Romualdo Valverde Robledo#12:10
Ramiro Sotomayor Llanca#12:21
Marisol Seguel Ordenes#12:58
Yorka Parraguez Labranna#12:41
Shirley Armijo Caro#12:53
Ilia Pontigo Camacho#12:33
Horacio Esteban Villena#12:31
Edgar Linares Bastias#12:48
Rosita Solar Leiton#13:11
Andrea Brante Rivera#11:43
Nidia Urriola Balladares#12:30
Olivia Otarola Buguenno#11:59
Paula Olavarria Corvalan#12:49
Axel Tiznado Guerrero#11:54
Janeth Catril Acunna#12:10
Carlina Urquieta Brante#13:07
Jacquelinne Fuenzalida Barreda#12:11
Giovanna General Clavijo#13:03
Tomasa Valdivieso Montecinos#12:55
Marcela Estay Moris#12:38
Juana Obando Neumann#12:56
Jessica Blas Silva#12:20
Gisela Ruz Oses#12:57
Marcelino Alvarado Oteiza#11:52
Marianne Donaire Villouta#12:03
Silvana Bonilla Abello#11:56
Darwin Carcamo Trivinnos#12:57
Petronila Nnanco Moscoso#12:41
Andy Galarce Menares#12:57
Darwin Portilla Contador#12:30
Ismael Campanna Catrileo#12:58
Paulette Fierro Aburto#12:06
Bruno Valerio Antiquera#13:15
Emilia Espejo Benitez#13:30
Danisa Solis Oporto#12:37
